gene	unique	total
ENSMUSG00000082313	968	1043
ENSMUSG00000027425	4668	5262
ENSMUSG00000098387	0	594
ENSMUSG00000083674	3011	3011
ENSMUSG00000037259	8258	8258
ENSMUSG00000027427	7799	7799
ENSMUSG00000027428	2358	2358
ENSMUSG00000027429	6452	6452
ENSMUSG00000074754	372	372
ENSMUSG00000027430	2248	2248
ENSMUSG00000092833	0	0
ENSMUSG00000084306	1636	1636
ENSMUSG00000027431	661	661
ENSMUSG00000082858	722	722
ENSMUSG00000063873	4560	4560
ENSMUSG00000087158	265	265
ENSMUSG00000088711	0	0
ENSMUSG00000088213	226	226
ENSMUSG00000084178	353	365
ENSMUSG00000074753	518	518
ENSMUSG00000001768	11369	11369
ENSMUSG00000081722	213	213
ENSMUSG00000092758	89	89
ENSMUSG00000083014	524	524
ENSMUSG00000002728	3888	4088
ENSMUSG00000001767	3744	3744
ENSMUSG00000037143	10881	10881
ENSMUSG00000068154	3001	3001
ENSMUSG00000037110	19095	19095
ENSMUSG00000085958	859	859
ENSMUSG00000042938	0	744
ENSMUSG00000085796	638	638
ENSMUSG00000080870	831	900
ENSMUSG00000087618	188	188
ENSMUSG00000074749	2273	2273
ENSMUSG00000027433	3979	3979
ENSMUSG00000054160	1626	1626
ENSMUSG00000082158	706	706
ENSMUSG00000027434	2848	2848
ENSMUSG00000086509	3887	4246
ENSMUSG00000053545	377	377
ENSMUSG00000089316	225	225
ENSMUSG00000081971	383	383
ENSMUSG00000084371	877	877
ENSMUSG00000098763	0	359
ENSMUSG00000084774	659	659
ENSMUSG00000087521	733	733
ENSMUSG00000037034	4390	4390
ENSMUSG00000083126	210	210
ENSMUSG00000080844	231	231
ENSMUSG00000081741	339	339
ENSMUSG00000051986	1232	1232
ENSMUSG00000065791	8	8
ENSMUSG00000086141	1581	1581
ENSMUSG00000037025	2365	2365
ENSMUSG00000099304	0	0
ENSMUSG00000083750	395	395
ENSMUSG00000089458	214	214
ENSMUSG00000037014	1325	1325
ENSMUSG00000074743	3624	3624
ENSMUSG00000082911	136	136
ENSMUSG00000027435	6578	6578
ENSMUSG00000087678	2770	2770
ENSMUSG00000088870	13	13
ENSMUSG00000036992	1113	1113
ENSMUSG00000027439	4474	4474
ENSMUSG00000027438	7145	7145
ENSMUSG00000055177	723	723
ENSMUSG00000036958	516	516
ENSMUSG00000027444	503	503
ENSMUSG00000027443	556	556
ENSMUSG00000027442	876	876
ENSMUSG00000036924	684	684
ENSMUSG00000027445	588	588
ENSMUSG00000027446	898	898
ENSMUSG00000027447	1165	1165
ENSMUSG00000103559	266	266
ENSMUSG00000081580	192	192
ENSMUSG00000063507	555	555
ENSMUSG00000074739	1407	1407
ENSMUSG00000086963	492	492
ENSMUSG00000081314	1558	1620
ENSMUSG00000081470	620	620
ENSMUSG00000033156	833	833
ENSMUSG00000089270	0	0
ENSMUSG00000081494	723	888
ENSMUSG00000087029	1299	1299
ENSMUSG00000074736	2620	2620
ENSMUSG00000074737	591	591
ENSMUSG00000083055	884	896
ENSMUSG00000068134	4567	4567
ENSMUSG00000074837	615	615
ENSMUSG00000079009	1417	1629
ENSMUSG00000060336	2401	2694
ENSMUSG00000074735	891	891
ENSMUSG00000079008	2687	2848
ENSMUSG00000084320	890	890
ENSMUSG00000063364	2129	2208
ENSMUSG00000095315	204	204
ENSMUSG00000083077	296	296
ENSMUSG00000083964	828	874
ENSMUSG00000068130	2518	2890
ENSMUSG00000082740	555	579
ENSMUSG00000074731	2507	2635
ENSMUSG00000083325	803	1281
ENSMUSG00000081092	912	912
ENSMUSG00000068129	887	887
ENSMUSG00000033096	2482	2482
ENSMUSG00000086407	2559	2559
ENSMUSG00000027452	4063	4063
ENSMUSG00000087406	840	840
ENSMUSG00000033080	3692	3692
ENSMUSG00000086563	669	669
ENSMUSG00000100630	539	539
ENSMUSG00000097818	1341	1341
ENSMUSG00000033068	4827	4827
ENSMUSG00000033059	4705	4705
ENSMUSG00000032046	3090	3090
ENSMUSG00000087887	45	45
ENSMUSG00000027454	1415	1415
ENSMUSG00000082341	258	258
ENSMUSG00000068115	6373	6421
ENSMUSG00000084264	197	197
ENSMUSG00000082375	684	684
ENSMUSG00000053916	222	1486
ENSMUSG00000088444	30	30
ENSMUSG00000088433	36	37
ENSMUSG00000079006	215	2670
ENSMUSG00000079005	127	2582
ENSMUSG00000085805	315	409
ENSMUSG00000088890	37	37
ENSMUSG00000067352	1619	1754
ENSMUSG00000087337	406	1622
ENSMUSG00000089575	37	37
ENSMUSG00000088808	0	37
ENSMUSG00000087609	657	1842
ENSMUSG00000088941	37	37
ENSMUSG00000083391	857	909
ENSMUSG00000087495	922	1356
ENSMUSG00000087890	0	37
ENSMUSG00000082809	572	1255
ENSMUSG00000086659	315	409
ENSMUSG00000061525	1847	2585
ENSMUSG00000027455	3894	4145
ENSMUSG00000087433	334	334
ENSMUSG00000032966	4250	4250
ENSMUSG00000027456	1300	1300
ENSMUSG00000027457	8313	8313
ENSMUSG00000074704	1658	1658
ENSMUSG00000087035	2218	2218
ENSMUSG00000081777	352	352
ENSMUSG00000044364	1858	1858
ENSMUSG00000032869	6504	6504
ENSMUSG00000086800	1391	1391
ENSMUSG00000083088	1040	1040
ENSMUSG00000087033	488	488
ENSMUSG00000032852	2272	2272
ENSMUSG00000086620	1182	1182
ENSMUSG00000027460	2236	2236
ENSMUSG00000087004	480	480
ENSMUSG00000088491	0	0
ENSMUSG00000027459	2132	2132
ENSMUSG00000027463	2762	2762
ENSMUSG00000085946	1078	1078
ENSMUSG00000060257	3296	3296
ENSMUSG00000032802	2857	2857
ENSMUSG00000068079	881	881
ENSMUSG00000081087	166	293
ENSMUSG00000074698	5134	7170
ENSMUSG00000027465	4263	4263
ENSMUSG00000027466	4758	4758
ENSMUSG00000032715	2121	2121
ENSMUSG00000068062	1900	1900
ENSMUSG00000081434	776	853
ENSMUSG00000059361	1356	1356
ENSMUSG00000051817	4450	4450
ENSMUSG00000074682	2974	2974
ENSMUSG00000032680	1978	1978
ENSMUSG00000088139	0	0
ENSMUSG00000083230	209	209
ENSMUSG00000074681	525	525
ENSMUSG00000082689	384	384
ENSMUSG00000049560	591	591
ENSMUSG00000027468	529	529
ENSMUSG00000074680	462	462
ENSMUSG00000074679	298	298
ENSMUSG00000044249	363	363
ENSMUSG00000084935	240	240
ENSMUSG00000090485	102	102
ENSMUSG00000056544	328	328
ENSMUSG00000050645	295	295
ENSMUSG00000062124	491	491
ENSMUSG00000044863	369	369
ENSMUSG00000089684	118	118
ENSMUSG00000074678	194	194
ENSMUSG00000000359	2147	2147
ENSMUSG00000087148	657	657
ENSMUSG00000019188	9015	9015
ENSMUSG00000042814	813	813
ENSMUSG00000097722	1688	1688
ENSMUSG00000042745	1157	1157
ENSMUSG00000082318	502	502
ENSMUSG00000009876	689	689
ENSMUSG00000093306	0	3
ENSMUSG00000007659	4863	4863
ENSMUSG00000027469	4895	4895
ENSMUSG00000093746	0	0
ENSMUSG00000027470	2852	2852
ENSMUSG00000074676	1212	1212
ENSMUSG00000042662	4486	4486
ENSMUSG00000074673	3925	3925
ENSMUSG00000089898	396	396
ENSMUSG00000027472	2726	2726
ENSMUSG00000042631	2612	2612
ENSMUSG00000027474	2598	2598
ENSMUSG00000003283	1993	1993
ENSMUSG00000089499	4	4
ENSMUSG00000068040	7500	7500
ENSMUSG00000074671	2839	2973
ENSMUSG00000051413	5635	5635
ENSMUSG00000046020	10297	10297
ENSMUSG00000027475	5536	5536
ENSMUSG00000073236	2046	2046
ENSMUSG00000042548	7534	7534
ENSMUSG00000061411	9163	9170
ENSMUSG00000082283	183	183
ENSMUSG00000079001	232	232
ENSMUSG00000056941	5638	5638
ENSMUSG00000079000	619	619
ENSMUSG00000027478	5151	5392
ENSMUSG00000082079	1883	2124
ENSMUSG00000027479	7710	7710
ENSMUSG00000044083	5884	5884
ENSMUSG00000083097	154	336
ENSMUSG00000027480	1329	1329
ENSMUSG00000027481	1993	1993
ENSMUSG00000068009	1594	1594
ENSMUSG00000068008	1774	1774
ENSMUSG00000074665	3123	3123
ENSMUSG00000078998	1473	1473
ENSMUSG00000042459	1945	1945
ENSMUSG00000096084	260	260
ENSMUSG00000081013	451	481
ENSMUSG00000027482	1282	1282
ENSMUSG00000027483	1509	1509
ENSMUSG00000027484	990	990
ENSMUSG00000027485	3678	3678
ENSMUSG00000038572	1538	1538
ENSMUSG00000067998	1197	2256
ENSMUSG00000083732	950	950
ENSMUSG00000067996	909	1968
ENSMUSG00000027487	3439	3439
ENSMUSG00000027488	3091	3091
ENSMUSG00000038533	8327	8800
ENSMUSG00000027489	2739	2739
ENSMUSG00000038523	1132	1132
ENSMUSG00000078129	1402	1402
ENSMUSG00000027490	3151	3151
ENSMUSG00000000876	3015	3015
ENSMUSG00000097602	402	402
ENSMUSG00000059842	3392	3392
ENSMUSG00000085483	849	849
ENSMUSG00000038467	1928	1928
ENSMUSG00000082064	541	792
ENSMUSG00000083975	122	122
ENSMUSG00000085691	583	583
ENSMUSG00000098640	677	677
ENSMUSG00000027593	3617	3666
ENSMUSG00000027596	1201	1250
ENSMUSG00000074656	6582	7042
ENSMUSG00000084897	3097	3144
ENSMUSG00000027597	1007	2769
ENSMUSG00000109877	2347	2347
ENSMUSG00000087254	1299	1299
ENSMUSG00000027598	9693	9695
ENSMUSG00000082596	530	530
ENSMUSG00000047459	1099	1099
ENSMUSG00000027602	1178	1178
ENSMUSG00000038383	9412	9412
ENSMUSG00000076216	10	10
ENSMUSG00000038375	5326	5326
ENSMUSG00000038369	9856	9856
ENSMUSG00000080237	586	586
ENSMUSG00000083341	224	224
ENSMUSG00000027603	3164	3164
ENSMUSG00000027605	10731	10731
ENSMUSG00000093624	192	192
ENSMUSG00000093687	363	363
ENSMUSG00000086529	530	530
ENSMUSG00000027610	6218	6218
ENSMUSG00000085317	551	769
ENSMUSG00000085010	399	617
ENSMUSG00000087616	666	666
ENSMUSG00000074652	6534	6534
ENSMUSG00000076312	0	0
ENSMUSG00000038324	9158	9180
ENSMUSG00000088695	34	34
ENSMUSG00000038312	3458	3458
ENSMUSG00000092123	0	0
ENSMUSG00000027611	2069	2069
ENSMUSG00000027612	4583	4583
ENSMUSG00000074649	1516	1516
ENSMUSG00000027613	2990	2990
ENSMUSG00000086754	697	697
ENSMUSG00000074647	3873	3873
ENSMUSG00000005882	7144	7144
ENSMUSG00000078972	1281	1281
ENSMUSG00000038259	2221	2221
ENSMUSG00000038241	11070	11070
ENSMUSG00000074646	5251	5251
ENSMUSG00000005881	2433	2433
ENSMUSG00000013338	7220	7220
ENSMUSG00000081002	447	447
ENSMUSG00000038180	5813	5813
ENSMUSG00000074643	2085	5927
ENSMUSG00000098950	563	6384
ENSMUSG00000103285	1583	1583
ENSMUSG00000089824	4637	6880
ENSMUSG00000027618	3450	3609
ENSMUSG00000067847	779	779
ENSMUSG00000027620	8448	8448
ENSMUSG00000038116	10009	10217
ENSMUSG00000046229	660	660
ENSMUSG00000038085	3664	3972
ENSMUSG00000081751	180	180
ENSMUSG00000076231	0	0
ENSMUSG00000085546	3116	3116
ENSMUSG00000082321	341	540
ENSMUSG00000087323	232	232
ENSMUSG00000088637	117	117
ENSMUSG00000084017	383	383
ENSMUSG00000102869	3366	4816
ENSMUSG00000061272	179	179
ENSMUSG00000076230	0	0
ENSMUSG00000027624	11909	11909
ENSMUSG00000086872	440	440
ENSMUSG00000085524	765	765
ENSMUSG00000027628	3807	3807
ENSMUSG00000055494	2098	2098
ENSMUSG00000086118	2420	2420
ENSMUSG00000061689	9223	9223
ENSMUSG00000087508	62	62
ENSMUSG00000083498	545	545
ENSMUSG00000086638	1038	1038
ENSMUSG00000067818	1293	1293
ENSMUSG00000082196	493	493
ENSMUSG00000087179	1129	1129
ENSMUSG00000062175	3299	3793
ENSMUSG00000085741	3842	3846
ENSMUSG00000102323	3247	3247
ENSMUSG00000074629	1232	1232
ENSMUSG00000098755	147	147
ENSMUSG00000027637	2869	2869
ENSMUSG00000027636	3099	3099
ENSMUSG00000080880	729	779
ENSMUSG00000083831	445	445
ENSMUSG00000081616	138	138
ENSMUSG00000027634	8651	8769
ENSMUSG00000098750	37	37
ENSMUSG00000082163	621	621
ENSMUSG00000027635	3486	3486
ENSMUSG00000055485	7984	7984
ENSMUSG00000074628	541	541
ENSMUSG00000027639	9293	9311
ENSMUSG00000027641	5890	5890
ENSMUSG00000084113	250	261
ENSMUSG00000074627	4840	4840
ENSMUSG00000027642	4612	4614
ENSMUSG00000027643	665	665
ENSMUSG00000063019	1008	1008
ENSMUSG00000027646	4595	4595
ENSMUSG00000081740	171	233
ENSMUSG00000082329	9	18
ENSMUSG00000087445	365	365
ENSMUSG00000067787	3016	3018
ENSMUSG00000067786	2404	2404
ENSMUSG00000077990	0	0
ENSMUSG00000087547	530	530
ENSMUSG00000077290	35	35
ENSMUSG00000084417	0	0
ENSMUSG00000027649	2685	2685
ENSMUSG00000062846	100	378
ENSMUSG00000037843	1264	1264
ENSMUSG00000027650	4025	4025
ENSMUSG00000027651	6689	6689
ENSMUSG00000100860	468	468
ENSMUSG00000037820	4601	4601
ENSMUSG00000092283	534	534
ENSMUSG00000037813	5004	5004
ENSMUSG00000078957	506	506
ENSMUSG00000098765	0	0
ENSMUSG00000052922	2020	2020
ENSMUSG00000016024	4761	4761
ENSMUSG00000085385	7643	7723
ENSMUSG00000065362	0	32
ENSMUSG00000064995	0	14
ENSMUSG00000100992	0	33
ENSMUSG00000064405	0	33
ENSMUSG00000044349	8770	8804
ENSMUSG00000065840	0	34
ENSMUSG00000064585	34	34
ENSMUSG00000083168	190	190
ENSMUSG00000083715	212	212
ENSMUSG00000027652	13270	13270
ENSMUSG00000081800	93	93
ENSMUSG00000084644	0	0
ENSMUSG00000044405	835	835
ENSMUSG00000074625	2106	2106
ENSMUSG00000086496	7381	7381
ENSMUSG00000037771	2698	2698
ENSMUSG00000087563	640	640
ENSMUSG00000037761	4376	4376
ENSMUSG00000093120	0	0
ENSMUSG00000037754	8842	8842
ENSMUSG00000093040	27	27
ENSMUSG00000027654	3890	3890
ENSMUSG00000027655	5618	5618
ENSMUSG00000104628	0	0
ENSMUSG00000077188	33	33
ENSMUSG00000083913	164	189
ENSMUSG00000083451	433	433
ENSMUSG00000081215	767	767
ENSMUSG00000086558	418	418
ENSMUSG00000085198	1027	1027
ENSMUSG00000083329	350	350
ENSMUSG00000086653	507	507
ENSMUSG00000074623	1393	1393
ENSMUSG00000074622	3264	3264
ENSMUSG00000078956	1567	1567
ENSMUSG00000078955	476	476
ENSMUSG00000094247	26	26
ENSMUSG00000070544	10321	10321
ENSMUSG00000016933	8428	8428
ENSMUSG00000098889	845	880
ENSMUSG00000035877	13123	13158
ENSMUSG00000085303	1586	1586
ENSMUSG00000081854	759	759
ENSMUSG00000027412	3785	3785
ENSMUSG00000050700	3546	3546
ENSMUSG00000087147	699	699
ENSMUSG00000057133	19355	19355
ENSMUSG00000077795	26	26
ENSMUSG00000109780	1706	1706
ENSMUSG00000067745	2073	2073
ENSMUSG00000085469	276	276
ENSMUSG00000081099	901	903
ENSMUSG00000081151	309	351
ENSMUSG00000087031	165	165
ENSMUSG00000083374	337	377
ENSMUSG00000100943	224	224
ENSMUSG00000053141	12804	12804
ENSMUSG00000084919	531	531
ENSMUSG00000054457	1102	1102
ENSMUSG00000087536	581	581
ENSMUSG00000077143	27	27
ENSMUSG00000082296	234	234
ENSMUSG00000088064	59	59
ENSMUSG00000086030	149	149
ENSMUSG00000083567	251	531
ENSMUSG00000082514	591	591
ENSMUSG00000016921	5084	5084
ENSMUSG00000035576	4694	4694
ENSMUSG00000080962	865	908
ENSMUSG00000017868	3499	3499
ENSMUSG00000017858	2743	2743
ENSMUSG00000017861	3918	4627
ENSMUSG00000099091	0	0
ENSMUSG00000070708	723	723
ENSMUSG00000096635	17	26
ENSMUSG00000086152	615	615
ENSMUSG00000086036	197	197
ENSMUSG00000074607	3393	3393
ENSMUSG00000017817	4168	4168
ENSMUSG00000035399	1870	2479
ENSMUSG00000099632	468	468
ENSMUSG00000017943	2773	2773
ENSMUSG00000048486	3868	3868
ENSMUSG00000053353	641	641
ENSMUSG00000078949	995	995
ENSMUSG00000046840	953	953
ENSMUSG00000017950	4723	4723
ENSMUSG00000088408	4	4
ENSMUSG00000017679	6083	6083
ENSMUSG00000017707	3839	3839
ENSMUSG00000058812	853	853
ENSMUSG00000035268	4290	4290
ENSMUSG00000087129	3294	3294
ENSMUSG00000017697	1901	1901
ENSMUSG00000027656	1924	1924
ENSMUSG00000035238	1904	1904
ENSMUSG00000035226	4863	4863
ENSMUSG00000018326	3282	3282
ENSMUSG00000054582	2711	2711
ENSMUSG00000018322	3119	3119
ENSMUSG00000018209	5759	5759
ENSMUSG00000085538	634	634
ENSMUSG00000084446	19	19
ENSMUSG00000040164	2613	2613
ENSMUSG00000040154	2321	2321
ENSMUSG00000085649	2052	2052
ENSMUSG00000042845	676	676
ENSMUSG00000051769	389	389
ENSMUSG00000018211	516	516
ENSMUSG00000040132	1885	1885
ENSMUSG00000050383	833	1150
ENSMUSG00000016998	632	632
ENSMUSG00000017003	875	1192
ENSMUSG00000017000	436	436
ENSMUSG00000017004	642	642
ENSMUSG00000017002	1076	1076
ENSMUSG00000098489	0	0
ENSMUSG00000016995	5267	5267
ENSMUSG00000017007	6020	6020
ENSMUSG00000017009	2448	2448
ENSMUSG00000045503	4748	5108
ENSMUSG00000085760	283	283
ENSMUSG00000090996	95	1270
ENSMUSG00000017720	835	835
ENSMUSG00000017734	3662	4477
ENSMUSG00000017721	3975	4024
ENSMUSG00000086179	1365	1365
ENSMUSG00000017723	1232	1232
ENSMUSG00000074596	458	458
ENSMUSG00000074595	486	768
ENSMUSG00000017733	679	679
ENSMUSG00000070533	3674	3674
ENSMUSG00000065797	8	8
ENSMUSG00000070531	603	885
ENSMUSG00000077671	32	32
ENSMUSG00000070530	1017	1017
ENSMUSG00000083740	157	157
ENSMUSG00000074594	448	448
ENSMUSG00000070529	360	360
ENSMUSG00000078940	518	518
ENSMUSG00000067704	975	975
ENSMUSG00000017310	652	652
ENSMUSG00000074593	451	451
ENSMUSG00000076434	2431	2431
ENSMUSG00000017299	2022	2022
ENSMUSG00000086453	880	880
ENSMUSG00000088226	217	217
ENSMUSG00000001403	2501	2501
ENSMUSG00000017300	700	700
ENSMUSG00000050373	5012	5012
ENSMUSG00000017307	2086	2086
ENSMUSG00000045822	2609	2609
ENSMUSG00000017764	2778	2778
ENSMUSG00000017767	1039	1039
ENSMUSG00000039873	915	915
ENSMUSG00000017760	5513	5513
ENSMUSG00000017754	3071	3071
ENSMUSG00000039849	6441	6441
ENSMUSG00000039834	4840	4840
ENSMUSG00000085436	1174	1174
ENSMUSG00000017737	3433	3433
ENSMUSG00000017740	7834	7834
ENSMUSG00000039804	4834	4834
ENSMUSG00000017652	3774	3774
ENSMUSG00000078935	603	603
ENSMUSG00000053166	3699	3699
ENSMUSG00000086630	477	477
ENSMUSG00000087800	32	32
ENSMUSG00000017664	4664	4664
ENSMUSG00000017670	6999	6999
ENSMUSG00000056824	3766	3766
ENSMUSG00000017667	8106	8106
ENSMUSG00000027670	3558	3558
ENSMUSG00000018459	5209	5209
ENSMUSG00000085358	261	261
ENSMUSG00000039725	1512	2088
ENSMUSG00000027661	3470	3470
ENSMUSG00000017897	3047	3047
ENSMUSG00000100796	226	226
ENSMUSG00000081758	262	262
ENSMUSG00000039671	11505	11571
ENSMUSG00000085274	748	748
ENSMUSG00000086820	336	336
ENSMUSG00000092796	14	26
ENSMUSG00000083264	288	288
ENSMUSG00000082924	463	463
ENSMUSG00000084816	731	731
ENSMUSG00000087351	438	438
ENSMUSG00000027678	7986	7986
ENSMUSG00000006800	5858	5858
ENSMUSG00000088926	6	6
ENSMUSG00000085618	192	192
ENSMUSG00000085046	575	575
ENSMUSG00000084840	284	284
ENSMUSG00000087617	967	967
ENSMUSG00000085129	1802	1802
ENSMUSG00000085682	3103	3103
ENSMUSG00000039621	10257	10257
ENSMUSG00000093063	17	17
ENSMUSG00000089145	248	248
ENSMUSG00000088063	4	4
ENSMUSG00000042854	5148	5724
ENSMUSG00000074582	8769	8769
ENSMUSG00000002718	5722	5722
ENSMUSG00000090397	634	634
ENSMUSG00000039536	6536	6536
ENSMUSG00000082665	1367	1376
ENSMUSG00000017999	4919	4919
ENSMUSG00000039501	8185	8185
ENSMUSG00000074578	3137	3227
ENSMUSG00000098430	0	90
ENSMUSG00000077515	0	0
ENSMUSG00000077565	0	0
ENSMUSG00000077698	0	0
ENSMUSG00000081946	457	457
ENSMUSG00000083436	99	99
ENSMUSG00000050556	11676	11676
ENSMUSG00000085151	1573	1573
ENSMUSG00000017969	2562	2562
ENSMUSG00000086098	705	705
ENSMUSG00000083661	260	260
ENSMUSG00000017929	4203	4203
ENSMUSG00000039463	9730	9730
ENSMUSG00000047030	4791	4791
ENSMUSG00000006418	3355	3355
ENSMUSG00000082687	178	178
ENSMUSG00000042821	1522	1522
ENSMUSG00000085596	1920	1920
ENSMUSG00000081511	377	377
ENSMUSG00000078923	1353	2962
ENSMUSG00000089739	95	2268
ENSMUSG00000090213	2563	3159
ENSMUSG00000093476	0	0
ENSMUSG00000085914	924	924
ENSMUSG00000056501	1405	1405
ENSMUSG00000006462	5846	5846
ENSMUSG00000084797	753	753
ENSMUSG00000087624	712	712
ENSMUSG00000087684	2356	2356
ENSMUSG00000085411	604	604
ENSMUSG00000027540	5741	5741
ENSMUSG00000074577	4240	4240
ENSMUSG00000086411	773	773
ENSMUSG00000092849	0	0
ENSMUSG00000044641	3300	3300
ENSMUSG00000085267	267	267
ENSMUSG00000087648	1210	1210
ENSMUSG00000092923	0	0
ENSMUSG00000051149	1150	5447
ENSMUSG00000093752	96	5189
ENSMUSG00000078919	6875	7671
ENSMUSG00000074576	1874	1874
ENSMUSG00000083342	331	331
ENSMUSG00000074575	4404	4404
ENSMUSG00000086783	227	227
ENSMUSG00000064961	38	38
ENSMUSG00000082239	746	746
ENSMUSG00000027544	10670	10670
ENSMUSG00000027546	6084	6084
ENSMUSG00000105496	0	0
ENSMUSG00000027547	5770	5770
ENSMUSG00000085322	1330	1330
ENSMUSG00000077761	30	30
ENSMUSG00000027551	5815	5815
ENSMUSG00000086348	374	374
ENSMUSG00000086658	161	161
ENSMUSG00000052368	1262	1262
ENSMUSG00000080415	22	22
ENSMUSG00000086238	1932	1932
ENSMUSG00000085369	416	416
ENSMUSG00000086840	467	467
ENSMUSG00000085350	490	490
ENSMUSG00000087074	918	918
ENSMUSG00000078912	159	159
ENSMUSG00000103662	4164	4164
ENSMUSG00000047907	7878	7878
ENSMUSG00000096972	5109	5109
ENSMUSG00000103935	1074	1074
ENSMUSG00000097065	1814	1814
ENSMUSG00000052056	6036	6036
ENSMUSG00000097514	1350	1350
ENSMUSG00000084013	312	747
ENSMUSG00000013523	3963	3963
ENSMUSG00000086999	1075	1075
ENSMUSG00000086970	1140	1140
ENSMUSG00000084067	147	207
ENSMUSG00000038567	3461	3461
ENSMUSG00000052033	2507	2507
ENSMUSG00000085495	3073	3073
ENSMUSG00000085225	345	345
ENSMUSG00000043583	1296	1296
ENSMUSG00000085158	1765	1765
ENSMUSG00000027560	1669	1669
ENSMUSG00000080955	644	647
ENSMUSG00000084829	1277	1277
ENSMUSG00000084818	338	338
ENSMUSG00000086613	336	336
ENSMUSG00000088505	165	165
ENSMUSG00000086823	3597	3597
ENSMUSG00000085426	385	385
ENSMUSG00000087100	353	353
ENSMUSG00000067578	2803	2803
ENSMUSG00000087409	531	531
ENSMUSG00000083793	516	516
ENSMUSG00000105205	44	44
ENSMUSG00000038537	2524	2524
ENSMUSG00000085949	331	331
ENSMUSG00000085905	1687	1687
ENSMUSG00000027495	3518	3518
ENSMUSG00000027496	2513	2513
ENSMUSG00000027498	3504	3504
ENSMUSG00000074570	5437	5437
ENSMUSG00000087633	2047	2047
ENSMUSG00000027502	2544	2544
ENSMUSG00000074569	2216	2216
ENSMUSG00000027505	599	599
ENSMUSG00000081344	0	72
ENSMUSG00000028640	3752	3752
ENSMUSG00000093160	0	0
ENSMUSG00000008999	3919	3919
ENSMUSG00000005883	4346	4346
ENSMUSG00000027509	2648	2648
ENSMUSG00000027510	3193	3193
ENSMUSG00000092596	99	99
ENSMUSG00000087442	454	454
ENSMUSG00000070495	3180	3214
ENSMUSG00000087382	5078	5078
ENSMUSG00000027513	3621	3621
ENSMUSG00000027514	3523	3523
ENSMUSG00000038400	4910	4910
ENSMUSG00000087600	581	581
ENSMUSG00000086114	371	371
ENSMUSG00000027518	547	547
ENSMUSG00000027517	1187	1187
ENSMUSG00000055897	13790	13790
ENSMUSG00000027519	7305	7305
ENSMUSG00000098588	20	20
ENSMUSG00000057047	800	800
ENSMUSG00000054455	7032	7032
ENSMUSG00000085938	1419	1419
ENSMUSG00000082543	312	376
ENSMUSG00000081700	111	111
ENSMUSG00000082519	556	556
ENSMUSG00000027522	4232	4232
ENSMUSG00000039263	3090	3090
ENSMUSG00000074555	776	776
ENSMUSG00000098467	0	0
ENSMUSG00000065521	0	0
ENSMUSG00000065410	0	0
ENSMUSG00000086537	3140	3140
ENSMUSG00000027523	11790	11790
ENSMUSG00000099106	0	0
ENSMUSG00000098535	23	23
ENSMUSG00000098342	26	26
ENSMUSG00000090625	1385	1385
ENSMUSG00000016253	3201	3201
ENSMUSG00000016256	1342	1342
ENSMUSG00000082641	262	262
ENSMUSG00000016255	1307	1307
ENSMUSG00000016252	1850	1850
ENSMUSG00000016257	2026	2026
ENSMUSG00000080158	748	777
ENSMUSG00000082353	474	474
ENSMUSG00000050600	9708	9708
ENSMUSG00000027524	4201	4201
ENSMUSG00000084795	1390	1390
ENSMUSG00000087215	641	641
ENSMUSG00000086177	215	215
ENSMUSG00000078906	510	1909
ENSMUSG00000085608	51	51
ENSMUSG00000082112	701	1385
ENSMUSG00000078905	571	837
ENSMUSG00000084050	305	342
ENSMUSG00000080888	810	1956
ENSMUSG00000081949	44	302
ENSMUSG00000090093	1529	2706
ENSMUSG00000087588	132	132
ENSMUSG00000078902	4552	4589
ENSMUSG00000078903	5036	7905
ENSMUSG00000082376	290	1637
ENSMUSG00000084323	0	525
ENSMUSG00000078901	0	3283
ENSMUSG00000085699	0	138
ENSMUSG00000078899	2642	4303
ENSMUSG00000078898	341	3002
ENSMUSG00000095231	0	192
ENSMUSG00000078897	102	2629
ENSMUSG00000078896	149	2247
ENSMUSG00000094475	0	1401
ENSMUSG00000084852	2	190
ENSMUSG00000095545	0	1680
ENSMUSG00000094932	0	1401
ENSMUSG00000085366	0	111
ENSMUSG00000078889	0	3414
ENSMUSG00000083481	0	525
ENSMUSG00000086941	0	480
ENSMUSG00000078887	349	3331
ENSMUSG00000085288	0	70
ENSMUSG00000089756	604	3010
ENSMUSG00000078886	147	3040
ENSMUSG00000078891	36	616
ENSMUSG00000085103	167	375
ENSMUSG00000095648	0	1607
ENSMUSG00000086367	192	1109
ENSMUSG00000078894	0	3932
ENSMUSG00000094108	99	1167
ENSMUSG00000084858	132	2043
ENSMUSG00000078895	0	318
ENSMUSG00000089951	251	1409
ENSMUSG00000086489	0	115
ENSMUSG00000078881	9	2749
ENSMUSG00000095199	0	1677
ENSMUSG00000094360	0	192
ENSMUSG00000078880	112	3304
ENSMUSG00000078879	698	2609
ENSMUSG00000078878	739	2397
ENSMUSG00000081003	118	225
ENSMUSG00000081599	595	1596
ENSMUSG00000078877	1500	3177
ENSMUSG00000078876	96	405
ENSMUSG00000083170	124	2067
ENSMUSG00000074527	4763	9865
ENSMUSG00000081326	107	975
ENSMUSG00000078875	345	2532
ENSMUSG00000083317	133	409
ENSMUSG00000083111	789	1859
ENSMUSG00000078872	1158	1317
